/home/ubuntu/micromamba/envs/minLM/lib/python3.12/site-packages/huggingface_hub/file_download.py:1150: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
Number of rows in train dataset: 1165029
Number of rows in test dataset: 2891
num decayed parameter tensors: 50, with 222,793,200 parameters
num non-decayed parameter tensors: 25, with 27,000 parameters
using fused AdamW: True
Iter 0 | Perplexity: 57534.78515625
Epoch 0.0
Iter 0 | LR: 0.0003 | MFU: 0.04776321498834135 | time 116.35s | Loss: inf
Iter 42000 | LR: 0.0002881810296866433 | MFU: 0.02604280452200978 | time 210.50s | Loss: 0.8016751611977819
Iter 42500 | LR: 0.00028790260646199345 | MFU: 0.026079083154327203 | time 210.45s | Loss: 0.7865453454479576
Iter 43000 | LR: 0.00028762110848780235 | MFU: 0.02611194281792181 | time 210.43s | Loss: 0.7952763716876508
Iter 43500 | LR: 0.00028733654343028603 | MFU: 0.026141856188871958 | time 210.41s | Loss: 0.7940374375879763
Iter 44000 | LR: 0.0002870489190391882 | MFU: 0.02616842210227737 | time 210.43s | Loss: 0.7901560628414152
Iter 44500 | LR: 0.0002867582431475697 | MFU: 0.026192787239575677 | time 210.40s | Loss: 0.7980215631425381
Iter 45000 | Perplexity: 49.42170333862305
Iter 45000 | LR: 0.00028646452367159453 | MFU: 0.025849436382653936 | time 244.17s | Loss: 0.7928635283559566
Iter 45500 | LR: 0.0002861677686103148 | MFU: 0.02590555369930788 | time 210.41s | Loss: 0.791404864713551
Iter 46000 | LR: 0.0002858679860454526 | MFU: 0.0259557837157774 | time 210.43s | Loss: 0.7828043779730798
Iter 46500 | LR: 0.00028556518414117995 | MFU: 0.026000971650719046 | time 210.43s | Loss: 0.7809995608776806
Iter 47000 | LR: 0.0002852593711438965 | MFU: 0.026040861753526837 | time 210.50s | Loss: 0.7720024380832904
Iter 47500 | LR: 0.00028495055538200494 | MFU: 0.026077324982257746 | time 210.45s | Loss: 0.780319956988096
Iter 48000 | LR: 0.00028463874526568427 | MFU: 0.026110342589175342 | time 210.43s | Loss: 0.7773963762074709
Iter 48500 | LR: 0.00028432394928666057 | MFU: 0.026140540540550667 | time 210.40s | Loss: 0.7628770034760227
Epoch 1.0
Iter 49000 | LR: 0.0002840061760179759 | MFU: 0.026164475430239847 | time 210.65s | Loss: 0.7526632124930617
Iter 49500 | LR: 0.00028368543411375476 | MFU: 0.02618929660086123 | time 210.39s | Loss: 0.7512416460365057
Iter 50000 | Perplexity: 44.83985137939453
Iter 50000 | LR: 0.00028336173230896833 | MFU: 0.025846026534692777 | time 244.19s | Loss: 0.7454494420066472
Iter 50500 | LR: 0.0002830350794191969 | MFU: 0.0258921070214226 | time 211.24s | Loss: 0.7434166707098482
Iter 51000 | LR: 0.0002827054843403893 | MFU: 0.025943582347909964 | time 210.44s | Loss: 0.7604715541005138
Iter 51500 | LR: 0.00028237295604862105 | MFU: 0.02599036371070909 | time 210.40s | Loss: 0.7459737802669401
Iter 52000 | LR: 0.0002820375035998497 | MFU: 0.026032021437123964 | time 210.44s | Loss: 0.7648619233071815
Iter 52500 | LR: 0.00028169913612966825 | MFU: 0.0260699142240955 | time 210.41s | Loss: 0.7546855344623332
Iter 53000 | LR: 0.00028135786285305646 | MFU: 0.026103464149763413 | time 210.45s | Loss: 0.7440564354509116
Iter 53500 | LR: 0.00028101369306412957 | MFU: 0.026134186563339212 | time 210.41s | Loss: 0.7465433485433463
Iter 54000 | LR: 0.0002806666361358856 | MFU: 0.02616146140613149 | time 210.44s | Loss: 0.7420740706473589
Iter 54500 | LR: 0.00028031670151994995 | MFU: 0.0261862696512012 | time 210.42s | Loss: 0.748362892493606
Iter 55000 | Perplexity: 41.06870651245117
Iter 55000 | LR: 0.0002799638987463177 | MFU: 0.025843117607617115 | time 244.21s | Loss: 0.7470872184634211
Iter 55500 | LR: 0.0002796082374230945 | MFU: 0.025899889761431108 | time 210.41s | Loss: 0.735821024626494
Iter 56000 | LR: 0.0002792497272362347 | MFU: 0.025950782278400968 | time 210.42s | Loss: 0.7362377797067168
Iter 56500 | LR: 0.0002788883779492776 | MFU: 0.025996898387746527 | time 210.40s | Loss: 0.744835507795215
Iter 57000 | LR: 0.00027852419940308144 | MFU: 0.026038058226158494 | time 210.43s | Loss: 0.7340220217406745
Iter 57500 | LR: 0.00027815720151555567 | MFU: 0.02607521489563061 | time 210.42s | Loss: 0.7321383581683036
